query,tool_name,action_input,reasoning,summary,tags
Map flood extent using Sentinel-1 radar in Hyderabad.,get_s1_water_mask,Hyderabad,1. Use Sentinel-1 VV. 2. Filter backscatter < -15 dB. 3. Detect water. 4. Clip to region.,Radar-based detection of water/flooding.,"flood,water,radar"
Map highest crop cover within Bengaluru.,get_peak_ndvi,Bengaluru,1. Load Sentinel-2 time series. 2. Compute NDVI. 3. Max pixel-wise NDVI. 4. Clip to region.,Shows peak vegetation from NDVI time series.,"vegetation,crop,ndvi"
Map terrain-based flood risk in Delhi.,get_flood_mask,Delhi,1. Analyze DEM (<200m). 2. Compute slope (<10°). 3. Combine both. 4. Clip to area.,Terrain-based flood risk zones.,flood
Display radar-detected water zones in Guwahati.,get_s1_water_mask,Guwahati,1. Use Sentinel-1 VV. 2. Filter backscatter < -15 dB. 3. Detect water. 4. Clip to region.,Radar-based detection of water/flooding.,"flood,water,radar"
Where can solar energy be best harvested within Mumbai?,get_solar_irradiance,Mumbai,1. Load NASA POWER data. 2. Compute 2023 average irradiance. 3. Clip to city.,Maps regions with high solar irradiance.,"solar,energy,power"
Detect vegetation-poor regions around Mumbai.,get_ndvi_mask,Mumbai,1. Use Sentinel-2 imagery. 2. Compute NDVI using B8 & B4. 3. Threshold NDVI < 0.2. 4. Clip to region.,Identifies low vegetation areas using NDVI.,"vegetation,ndvi"
Display land usage map around Hyderabad.,get_land_cover,Hyderabad,1. Access ESA WorldCover. 2. Extract land classification. 3. Visualize. 4. Clip to region.,Maps land use based on ESA classification.,"land,cover,use,classification"
Where is water accumulation detected by radar in Delhi?,get_s1_water_mask,Delhi,1. Use Sentinel-1 VV. 2. Filter backscatter < -15 dB. 3. Detect water. 4. Clip to region.,Radar-based detection of water/flooding.,"flood,water,radar"
Which zones across Chennai are flood-prone?,get_flood_mask,Chennai,1. Analyze DEM (<200m). 2. Compute slope (<10°). 3. Combine both. 4. Clip to area.,Terrain-based flood risk zones.,flood
Find top solar energy spots across Guwahati.,get_solar_irradiance,Guwahati,1. Load NASA POWER data. 2. Compute 2023 average irradiance. 3. Clip to city.,Maps regions with high solar irradiance.,"solar,energy,power"
Predict flood zones within Mumbai.,get_flood_mask,Mumbai,1. Analyze DEM (<200m). 2. Compute slope (<10°). 3. Combine both. 4. Clip to area.,Terrain-based flood risk zones.,flood
Which zones across Guwahati are flood-prone?,get_flood_mask,Guwahati,1. Analyze DEM (<200m). 2. Compute slope (<10°). 3. Combine both. 4. Clip to area.,Terrain-based flood risk zones.,flood
Show radar-based flooded zones across Delhi.,get_s1_water_mask,Delhi,1. Use Sentinel-1 VV. 2. Filter backscatter < -15 dB. 3. Detect water. 4. Clip to region.,Radar-based detection of water/flooding.,"flood,water,radar"
Show flood danger areas within Delhi.,get_flood_mask,Delhi,1. Analyze DEM (<200m). 2. Compute slope (<10°). 3. Combine both. 4. Clip to area.,Terrain-based flood risk zones.,flood
Display land usage map in Delhi.,get_land_cover,Delhi,1. Access ESA WorldCover. 2. Extract land classification. 3. Visualize. 4. Clip to region.,Maps land use based on ESA classification.,"land,cover,use,classification"
Map optimal solar regions around Delhi.,get_solar_irradiance,Delhi,1. Load NASA POWER data. 2. Compute 2023 average irradiance. 3. Clip to city.,Maps regions with high solar irradiance.,"solar,energy,power"
Find low NDVI zones in Kolkata.,get_ndvi_mask,Kolkata,1. Use Sentinel-2 imagery. 2. Compute NDVI using B8 & B4. 3. Threshold NDVI < 0.2. 4. Clip to region.,Identifies low vegetation areas using NDVI.,"vegetation,ndvi"
Find top solar energy spots in Kolkata.,get_solar_irradiance,Kolkata,1. Load NASA POWER data. 2. Compute 2023 average irradiance. 3. Clip to city.,Maps regions with high solar irradiance.,"solar,energy,power"
Find top solar energy spots within Chennai.,get_solar_irradiance,Chennai,1. Load NASA POWER data. 2. Compute 2023 average irradiance. 3. Clip to city.,Maps regions with high solar irradiance.,"solar,energy,power"
Find top solar energy spots across Chennai.,get_solar_irradiance,Chennai,1. Load NASA POWER data. 2. Compute 2023 average irradiance. 3. Clip to city.,Maps regions with high solar irradiance.,"solar,energy,power"
